DATE,GOLDPMGBD228NLBM
2019-12-31,.
2020-01-01,.
2020-01-02,1527.10
2020-01-03,1548.75
2020-01-06,1573.10
2020-01-07,1567.85
2020-01-08,1571.95
2020-01-09,1550.75
2020-01-10,1553.60
2020-01-13,1549.90
2020-01-14,1545.10
2020-01-15,1549.00
2020-01-16,1554.55
2020-01-17,1557.60
2020-01-20,1560.15
2020-01-21,1551.30
2020-01-22,1556.90
2020-01-23,1562.90
2020-01-24,1564.30
2020-01-27,1580.10
2020-01-28,1574.00
2020-01-29,1573.45
2020-01-30,1578.25
2020-01-31,1584.20
2020-02-03,1574.75
2020-02-04,1558.35
2020-02-05,1553.30
2020-02-06,1563.30
2020-02-07,.
2020-02-10,1573.20
2020-02-11,1570.50
2020-02-12,1563.70
2020-02-13,1575.05
2020-02-14,1581.40
2020-02-17,1580.80
2020-02-18,1589.85
2020-02-19,1604.20
2020-02-20,1619.00
2020-02-21,1643.30
2020-02-24,1671.65
2020-02-25,1650.30
2020-02-26,1634.90
2020-02-27,1652.00
2020-02-28,1609.85
2020-03-02,1599.65
2020-03-03,1615.50
2020-03-04,1641.85
2020-03-05,1659.60
2020-03-06,1683.65
2020-03-09,1672.50
2020-03-10,1655.70
2020-03-11,1653.75
2020-03-12,1570.70
2020-03-13,1562.80
2020-03-16,1487.70
2020-03-17,1536.20
2020-03-18,1498.20
2020-03-19,1474.25
2020-03-20,1494.40
2020-03-23,1525.40
2020-03-24,1605.75
2020-03-25,1605.45
2020-03-26,1634.80
2020-03-27,1617.30
2020-03-30,1618.30
2020-03-31,1608.95
2020-04-01,1576.55
2020-04-02,1616.80
2020-04-03,1613.10
2020-04-06,1648.30
2020-04-07,1649.25
2020-04-08,1647.80
2020-04-09,1680.65
2020-04-10,.
2020-04-13,.
2020-04-14,1741.90
2020-04-15,1718.65
2020-04-16,1729.50
2020-04-17,1692.55
2020-04-20,1686.20
2020-04-21,1682.05
2020-04-22,1710.55
2020-04-23,1736.25
